workerid,proliferate.condition,ExpFiller,Intro_object,Prime,Res_object,clicking_practice_trial_number,competitor1,competitor2,condition,condition1,correctAns1,correctAns2,determiner,determiner1,displayID,display_type,figure,instruction1,instruction3,list,location1,location10,location2,location3,location4,location5,location6,location7,location8,location9,object1,object2,object3,object4,practiceTrialType,practice_trial_number,prime,response,response_times,setting,size,size1,target1,target2,target_figure1,target_figure3,target_object1,target_object3,trial_number,catch_trials,subject_information.age,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
128,List1,Exp,,GirlTwoSusanBananas,,,3,9,num,,AOI4,AOI10,two,,5,33-33,Susan's,,Click on the girl that has two of Susan's bananas,1,2_pears,girl,3_apples,3_oranges,2_bananas,1_banana,1_pear,boy,boy,girl,,,,,,,,two bananas,4275,fruit,small,,4,10,,girl,,2_bananas,3,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoyAllAmyForks,,,1,7,all,,AOI2,AOI8,all,,17,33-33,Amy's,,Click on the boy that has all of Amy's forks,1,2_spoons,girl,3_forks,2_knives,3_plates,1_spoon,1_knife,boy,boy,girl,,,,,,,,three forks,4909,kitchenwares,big,,2,8,,boy,,3_forks,4,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Filler,,GirlOneSusanPears,,,3,9,one,,AOI4,AOI10,one,,42,33-33,Susan's,,Click on the girl that has one of Susan's pears,1,3_bananas,girl,3_oranges,3_apples,1_pear,2_pears,0,boy,boy,girl,,,,,,,,one pear,5192,fruit,small,,4,10,,girl,,1_pear,5,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Filler,,BoyOneAmyPlates,,,2,8,one,,AOI1,AOI7,one,,38,33-33,Amy's,,Click on the boy that has one of Amy's plates,1,1_plate,girl,3_knives,3_forks,3_spoons,2_plates,0,boy,boy,girl,,,,,,,,one plate,4864,kitchenwares,small,,1,7,,boy,,1_plate,6,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Filler,,BoyOneSusanApples,,,2,8,one,,AOI1,AOI7,one,,37,33-33,Susan's,,Click on the boy that has one of Susan's apples,1,1_apple,girl,3_pears,3_bananas,3_oranges,2_apples,0,boy,boy,girl,,,,,,,,one apple,4487,fruit,small,,1,7,,boy,,1_apple,7,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoyThreeAmyPlates,,,2,8,num,,AOI1,AOI7,three,,31,44-22,Amy's,,Click on the boy that has three of Amy's plates,1,3_plates,girl,2_forks,3_spoons,2_knives,1_spoon,1_plate,boy,boy,girl,,,,,,,,three plates,4472,kitchenwares,big,,1,7,,boy,,3_plates,8,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoyThreeMichaelErasers,,,1,7,num,,AOI2,AOI8,three,,27,44-22,Michael's,,Click on the boy that has three of Michael's erasers,1,2_rulers,girl,3_erasers,2_scissors,3_pencils,1_pencil,1_eraser,boy,boy,girl,,,,,,,,boy with three erasers,7408,stationeries,big,,2,8,,boy,,3_erasers,9,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlSomeSusanBananas,,,3,9,some,,AOI4,AOI10,some,,19,44-22,Susan's,,Click on the girl that has some of Susan's bananas,1,3_oranges,girl,2_apples,2_pears,3_bananas,1_banana,1_orange,boy,boy,girl,,,,,,,,girl with three bananas,5291,fruit,big,,4,10,,girl,,3_bananas,10,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoySomeMichaelPencils,,,2,8,some,,AOI1,AOI7,some,,29,44-22,Michael's,,Click on the boy that has some of Michael's pencils,1,3_pencils,girl,2_erasers,3_scissors,2_rulers,1_pencil,1_scissor,boy,boy,girl,,,,,,,,boy with two pencils,4526,stationeries,big,,1,7,,boy,,3_pencils,11,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlSomeMichaelRulers,,,3,9,some,,AOI4,AOI10,some,,30,44-22,Michael's,,Click on the girl that has some of Michael's rulers,1,3_erasers,girl,2_pencils,2_scissors,3_rulers,1_ruler,1_eraser,boy,boy,girl,,,,,,,,girl with three rulers,7552,stationeries,big,,4,10,,girl,,3_rulers,12,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlAllMichaelPencils,,,3,9,all,,AOI4,AOI10,all,,25,44-22,Michael's,,Click on the girl that has all of Michael's pencils,1,3_erasers,girl,2_rulers,3_scissors,2_pencils,1_eraser,1_scissor,boy,boy,girl,,,,,,,,girl with two pencils,5673,stationeries,small,,4,10,,girl,,2_pencils,13,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlAllSusanBananas,,,4,10,all,,AOI3,AOI9,all,,4,33-33,Susan's,,Click on the girl that has all of Susan's bananas,1,2_pears,girl,3_apples,3_bananas,2_oranges,1_orange,1_pear,boy,boy,girl,,,,,,,,girl with three bananas,5276,fruit,big,,3,9,,girl,,3_bananas,14,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlTwoMichaelRulers,,,4,10,num,,AOI3,AOI9,two,,9,33-33,Michael's,,Click on the girl that has two of Michael's rulers,1,3_pencils,girl,2_scissors,2_rulers,3_erasers,1_ruler,1_scissor,boy,boy,girl,,,,,,,,rulers,10095,stationeries,small,,3,9,,girl,,2_rulers,15,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoySomeMichaelErasers,,,2,8,some,,AOI1,AOI7,some,,11,33-33,Michael's,,Click on the boy that has some of Michael's erasers,1,2_erasers,girl,3_pencils,2_rulers,3_scissors,1_ruler,1_eraser,boy,boy,girl,,,,,,,,erasers,3838,stationeries,small,,1,7,,boy,,2_erasers,16,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoySomeSusanPears,,,2,8,some,,AOI1,AOI7,some,,1,33-33,Susan's,,Click on the boy that has some of Susan's pears,1,2_pears,girl,3_bananas,2_apples,3_oranges,1_apple,1_pear,boy,boy,girl,,,,,,,,pears,3033,fruit,small,,1,7,,boy,,2_pears,17,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Filler,,GirlFourAmyKnives,,,4,10,four,,AOI3,AOI9,four,,46,44-22,Amy's,,Click on the girl that has four of Amy's knives,1,1_spoon,girl,3_plates,4_knives,2_forks,1_spoon,1_plate,boy,boy,girl,,,,,,,,knives,3838,kitchenwares,big,,3,9,,girl,,4_knives,18,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoyAllAmyKnives,,,2,8,all,,AOI1,AOI7,all,,18,33-33,Amy's,,Click on the boy that has all of Amy's knives,1,3_knives,girl,2_plates,3_spoons,2_forks,1_plate,1_fork,boy,boy,girl,,,,,,,,knives,5276,kitchenwares,big,,1,7,,boy,,3_knives,19,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlAllAmyPlates,,,3,9,all,,AOI4,AOI10,all,,35,44-22,Amy's,,Click on the girl that has all of Amy's plates,1,3_spoons,girl,2_forks,3_knives,2_plates,1_spoon,1_knife,boy,boy,girl,,,,,,,,plates,4026,kitchenwares,small,,4,10,,girl,,2_plates,20,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlAllAmySpoons,,,4,10,all,,AOI3,AOI9,all,,36,44-22,Amy's,,Click on the girl that has all of Amy's spoons,1,3_plates,girl,2_knives,2_spoons,3_forks,1_plate,1_fork,boy,boy,girl,,,,,,,,spoons,3741,kitchenwares,small,,3,9,,girl,,2_spoons,21,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Filler,,GirlFourAmyPlates,,,3,9,four,,AOI4,AOI10,four,,47,44-22,Amy's,,Click on the girl that has four of Amy's plates,1,1_knife,girl,3_forks,2_spoons,4_plates,1_knife,1_fork,boy,boy,girl,,,,,,,,plates,3197,kitchenwares,big,,4,10,,girl,,4_plates,22,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlThreeMichaelScissors,,,4,10,num,,AOI3,AOI9,three,,10,33-33,Michael's,,Click on the girl that has three of Michael's scissors,1,3_rulers,girl,2_erasers,3_scissors,2_pencils,1_pencil,1_eraser,boy,boy,girl,,,,,,,,scissors,3296,stationeries,big,,3,9,,girl,,3_scissors,23,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Filler,,GirlOneMichaelErasers,,,4,10,one,,AOI3,AOI9,one,,41,33-33,Michael's,,Click on the girl that has one of Michael's erasers,1,3_pencils,girl,3_scissors,1_eraser,3_rulers,2_erasers,0,boy,boy,girl,,,,,,,,girl with eraser,5651,stationeries,small,,3,9,,girl,,1_eraser,24,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoyThreeAmyKnives,,,1,7,num,,AOI2,AOI8,three,,14,33-33,Amy's,,Click on the boy that has three of Amy's knives,1,2_spoons,girl,3_knives,2_plates,3_forks,1_spoon,1_plate,boy,boy,girl,,,,,,,,knives,4654,kitchenwares,big,,2,8,,boy,,3_knives,25,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoyTwoAmySpoons,,,2,8,num,,AOI1,AOI7,two,,32,44-22,Amy's,,Click on the boy that has two of Amy's spoons,1,2_spoons,girl,3_knives,3_forks,2_plates,1_fork,1_knife,boy,boy,girl,,,,,,,,spoons,4404,kitchenwares,small,,1,7,,boy,,2_spoons,26,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoySomeMichaelScissors,,,1,7,some,,AOI2,AOI8,some,,12,33-33,Michael's,,Click on the boy that has some of Michael's scissors,1,3_rulers,girl,2_scissors,2_pencils,3_erasers,1_pencil,1_scissor,boy,boy,girl,,,,,,,,scissors,3574,stationeries,small,,2,8,,boy,,2_scissors,27,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Filler,,BoyFourSusanBananas,,,1,7,four,,AOI2,AOI8,four,,44,44-22,Susan's,,Click on the boy that has four of Susan's bananas,1,1_orange,girl,4_bananas,3_pears,2_apples,1_orange,1_pear,boy,boy,girl,,,,,,,,bananas,4076,fruit,big,,2,8,,boy,,4_bananas,28,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Filler,,BoyOneAmySpoons,,,1,7,one,,AOI2,AOI8,one,,39,33-33,Amy's,,Click on the boy that has one of Amy's spoons,1,3_forks,girl,1_spoon,3_plates,3_knives,2_spoons,0,boy,boy,girl,,,,,,,,boy with spoon,5627,kitchenwares,small,,2,8,,boy,,1_spoon,29,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlThreeSusanPears,,,3,9,num,,AOI4,AOI10,three,,6,33-33,Susan's,,Click on the girl that has three of Susan's pears,1,2_oranges,girl,3_bananas,2_apples,3_pears,1_apple,1_orange,boy,boy,girl,,,,,,,,girl with pears,4560,fruit,big,,4,10,,girl,,3_pears,30,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoyAllSusanPears,,,1,7,all,,AOI2,AOI8,all,,3,33-33,Susan's,,Click on the boy that has all of Susan's pears,1,2_apples,girl,3_pears,2_bananas,3_oranges,1_apple,1_banana,boy,boy,girl,,,,,,,,boy with pears,4085,fruit,big,,2,8,,boy,,3_pears,31,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlAllMichaelRulers,,,3,9,all,,AOI4,AOI10,all,,8,33-33,Michael's,,Click on the girl that has all of Michael's rulers,1,2_scissors,girl,3_pencils,2_erasers,3_rulers,1_eraser,1_scissor,boy,boy,girl,,,,,,,,girl with rulers,5407,stationeries,big,,4,10,,girl,,3_rulers,32,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlSomeAmyKnives,,,4,10,some,,AOI3,AOI9,some,,15,33-33,Amy's,,Click on the girl that has some of Amy's knives,1,2_spoons,girl,3_plates,2_knives,3_forks,1_spoon,1_knife,boy,boy,girl,,,,,,,,girl with knives,5682,kitchenwares,small,,3,9,,girl,,2_knives,33,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlSomeSusanApples,,,4,10,some,,AOI3,AOI9,some,,20,44-22,Susan's,,Click on the girl that has some of Susan's apples,1,3_pears,girl,2_bananas,3_apples,2_oranges,1_apple,1_pear,boy,boy,girl,,,,,,,,girl with apples,7326,fruit,big,,3,9,,girl,,3_apples,34,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoyTwoSusanApples,,,2,8,num,,AOI1,AOI7,two,,24,44-22,Susan's,,Click on the boy that has two of Susan's apples,1,2_apples,girl,3_pears,3_bananas,2_oranges,1_banana,1_pear,boy,boy,girl,,,,,,,,boy with apples,4370,fruit,small,,1,7,,boy,,2_apples,35,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoyAllMichaelScissors,,,2,8,all,,AOI1,AOI7,all,,7,33-33,Michael's,,Click on the boy that has all of Michael's scissors,1,3_scissors,girl,2_pencils,3_erasers,2_rulers,1_pencil,1_ruler,boy,boy,girl,,,,,,,,boy with scissors,4538,stationeries,big,,1,7,,boy,,3_scissors,36,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoySomeSusanOranges,,,1,7,some,,AOI2,AOI8,some,,2,33-33,Susan's,,Click on the boy that has some of Susan's oranges,1,3_apples,girl,2_oranges,2_bananas,3_pears,1_banana,1_orange,boy,boy,girl,,,,,,,,boy with oranges,5690,fruit,small,,2,8,,boy,,2_oranges,37,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoyTwoMichaelPencils,,,1,7,num,,AOI2,AOI8,two,,28,44-22,Michael's,,Click on the boy that has two of Michael's pencils,1,3_scissors,girl,2_pencils,2_erasers,3_rulers,1_ruler,1_scissor,boy,boy,girl,,,,,,,,boy with pencils,6087,stationeries,small,,2,8,,boy,,2_pencils,38,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlThreeSusanOranges,,,4,10,num,,AOI3,AOI9,three,,23,44-22,Susan's,,Click on the girl that has three of Susan's oranges,1,3_apples,girl,2_pears,3_oranges,2_bananas,1_apple,1_orange,boy,boy,girl,,,,,,,,girl with oranges,5819,fruit,big,,3,9,,girl,,3_oranges,39,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoySomeAmySpoons,,,1,7,some,,AOI2,AOI8,some,,33,44-22,Amy's,,Click on the boy that has some of Amy's spoons,1,2_plates,girl,3_spoons,2_forks,3_knives,1_spoon,1_knife,boy,boy,girl,,,,,,,,boy with spoons,5334,kitchenwares,big,,2,8,,boy,,3_spoons,40,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlAllMichaelErasers,,,4,10,all,,AOI3,AOI9,all,,26,44-22,Michael's,,Click on the girl that has all of Michael's erasers,1,3_pencils,girl,2_scissors,2_erasers,3_rulers,1_pencil,1_ruler,boy,boy,girl,,,,,,,,girl with erasers,4179,stationeries,small,,3,9,,girl,,2_erasers,41,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Filler,,GirlFourMichaelPencils,,,3,9,four,,AOI4,AOI10,four,,48,44-22,Michael's,,Click on the girl that has four of Michael's pencils,1,1_ruler,girl,2_erasers,3_scissors,4_pencils,1_ruler,1_scissor,boy,boy,girl,,,,,,,,girl with pencils,4537,stationeries,big,,4,10,,girl,,4_pencils,42,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,BoyAllSusanOranges,,,1,7,all,,AOI2,AOI8,all,,21,44-22,Susan's,,Click on the boy that has all of Susan's oranges,1,3_bananas,girl,2_oranges,3_apples,2_pears,1_apple,1_banana,boy,boy,girl,,,,,,,,boy with oranges,3973,fruit,small,,2,8,,boy,,2_oranges,43,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Filler,,BoyFourMichaelScissors,,,2,8,four,,AOI1,AOI7,four,,43,44-22,Michael's,,Click on the boy that has four of Michael's scissors,1,4_scissors,girl,1_pencil,2_rulers,3_erasers,1_pencil,1_eraser,boy,boy,girl,,,,,,,,boy with scissors,3349,stationeries,big,,1,7,,boy,,4_scissors,44,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Filler,,BoyOneMichaelRulers,,,1,7,one,,AOI2,AOI8,one,,40,33-33,Michael's,,Click on the boy that has one of Michael's rulers,1,3_erasers,girl,1_ruler,3_pencils,3_scissors,2_scissors,0,boy,boy,girl,,,,,,,,boy with ruler,4482,stationeries,small,,2,8,,boy,,1_ruler,45,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlSomeAmyForks,,,4,10,some,,AOI3,AOI9,some,,34,44-22,Amy's,,Click on the girl that has some of Amy's forks,1,2_spoons,girl,3_plates,3_forks,2_knives,1_fork,1_plate,boy,boy,girl,,,,,,,,girl with forks,4657,kitchenwares,big,,3,9,,girl,,3_forks,46,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlSomeAmyPlates,,,3,9,some,,AOI4,AOI10,some,,16,33-33,Amy's,,Click on the girl that has some of Amy's plates,1,2_forks,girl,3_knives,3_spoons,2_plates,1_fork,1_plate,boy,boy,girl,,,,,,,,girl with plates,5238,kitchenwares,small,,4,10,,girl,,2_plates,47,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
128,List1,Exp,,GirlTwoAmyForks,,,3,9,num,,AOI4,AOI10,two,,13,33-33,Amy's,,Click on the girl that has two of Amy's forks,1,2_knives,girl,3_spoons,3_plates,2_forks,1_fork,1_knife,boy,boy,girl,,,,,,,,girl with forks,5057,kitchenwares,small,,4,10,,girl,,2_forks,48,[],23,,3,1,$4,Female,English,No,Chrome,Windows,720,1280,7.861716666666666,
124,List1,Prac,Fruit_Susan_Monday,,Fruit_residue,1,2,,,two,AOI1,AOI7,,two,1,33-33,Susan,Click on the boy that has two of Susan's apples,,,2_apples,girl,3_bananas,2_pears,3_oranges,1_apple,1_pear,boy,boy,girl,apples,D3_pears,D3_bananas,D3_oranges,clicking practice,,BoyTwoSusanapples,"['AOI10', 'AOI7', 'AOI7', 'AOI7']",,fruit,,small,1,,boy,,2_apples,,,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Prac,Fruit_Susan_Tuesday,,Slience,2,1,,,some,AOI3,AOI9,,some,2,44-22,Susan,Click on the girl that has some of Susan's apples,,,3_bananas,girl,2_pears,3_apples,2_oranges,1_apple,1_banana,boy,boy,girl,apples,D2_pears,D4_bananas,D2_oranges,clicking practice,,GirlSomeSusanapples,"['AOI9', 'AOI9', 'AOI9', 'AOI9']",,fruit,,small,3,,girl,,3_apples,,,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Prac,Stationary_Michael_Monday,,Residue_stationary,3,4,,,num,AOI1,AOI7,,three,3,33-33,Michael,Click on the boy that has three of Michael's scissors,,,3_scissors,girl,2_pencils,3_erasers,2_rulers,1_pencil,1_ruler,boy,boy,girl,erasers,D3_pencils,D3_erasers,D3_rulers,clicking practice,,BoyThreeMichaelscissors,"['AOI8', 'AOI8', 'AOI7', 'AOI7']",,office supplies,,big,1,,boy,,3_scissors,,,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Prac,Stationary_Michael_Tuesday,,Residue_stationary,4,3,,,all,AOI4,AOI10,,all,4,44-22,Michael,Click on the girl that has all of Michael's rulers,,,3_pencils,girl,2_scissors,3_erasers,2_rulers,1_pencil,1_eraser,boy,boy,girl,rulers,D4_pencils,D4_erasers,D2_rulers,clicking practice,,GirlAllMichaelrulers,"['AOI8', 'AOI9', 'AOI10', 'AOI10']",,office supplies,,small,4,,girl,,2_rulers,,,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Prac,kitchware_Amy_Monday,,Residue_kitchen,,4,,,num,AOI3,AOI9,,three,5,44-22,Amy,Click on the girl that has three of Amy's knives,,,2_spoons,girl,3_forks,3_knives,2_plates,1_fork,1_knife,boy,boy,girl,knives,D4_forks,D2_spoons,D4_knives,production practice,1,GirlThreeAmyknives,girl with three knives,,kitchenwares,,big,3,,girl,,3_knives,,,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Prac,kitchware_Amy_Tuesday,,Slience,,2,,,some,AOI4,AOI10,,some,6,33-33,Amy,Click on the girl that has some of Amy's forks,,,3_spoons,girl,2_knives,3_plates,2_forks,1_fork,1_knife,boy,boy,girl,forks,D3_forks,D3_spoons,D3_knives,production practice,2,GirlSomeAmyforks,girl with forks,,kitchenwares,,big,4,,girl,,2_forks,,,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Filler,,GirlFourMichaelPencils,,,3,9,four,,AOI4,AOI10,four,,48,44-22,Michael's,,Click on the girl that has four of Michael's pencils,1,1_ruler,girl,2_erasers,3_scissors,4_pencils,1_ruler,1_scissor,boy,boy,girl,,,,,,,,person with all of the pencils,14037,stationeries,big,,4,10,,girl,,4_pencils,1,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Exp,,GirlSomeAmyKnives,,,4,10,some,,AOI3,AOI9,some,,15,33-33,Amy's,,Click on the girl that has some of Amy's knives,1,2_spoons,girl,3_plates,2_knives,3_forks,1_spoon,1_knife,boy,boy,girl,,,,,,,,girl with forks.,7393,kitchenwares,small,,3,9,,girl,,2_knives,2,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Exp,,GirlAllMichaelRulers,,,3,9,all,,AOI4,AOI10,all,,8,33-33,Michael's,,Click on the girl that has all of Michael's rulers,1,2_scissors,girl,3_pencils,2_erasers,3_rulers,1_eraser,1_scissor,boy,boy,girl,,,,,,,,person with all the rulers,11216,stationeries,big,,4,10,,girl,,3_rulers,3,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Exp,,GirlTwoSusanBananas,,,3,9,num,,AOI4,AOI10,two,,5,33-33,Susan's,,Click on the girl that has two of Susan's bananas,1,2_pears,girl,3_apples,3_oranges,2_bananas,1_banana,1_pear,boy,boy,girl,,,,,,,,girl with bananas,11188,fruit,small,,4,10,,girl,,2_bananas,4,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Exp,,GirlTwoMichaelRulers,,,4,10,num,,AOI3,AOI9,two,,9,33-33,Michael's,,Click on the girl that has two of Michael's rulers,1,3_pencils,girl,2_scissors,2_rulers,3_erasers,1_ruler,1_scissor,boy,boy,girl,,,,,,,,girl with two items,15804,stationeries,small,,3,9,,girl,,2_rulers,5,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Exp,,GirlAllAmyPlates,,,3,9,all,,AOI4,AOI10,all,,35,44-22,Amy's,,Click on the girl that has all of Amy's plates,1,3_spoons,girl,2_forks,3_knives,2_plates,1_spoon,1_knife,boy,boy,girl,,,,,,,,person with plates,12186,kitchenwares,small,,4,10,,girl,,2_plates,6,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Exp,,BoyTwoMichaelPencils,,,1,7,num,,AOI2,AOI8,two,,28,44-22,Michael's,,Click on the boy that has two of Michael's pencils,1,3_scissors,girl,2_pencils,2_erasers,3_rulers,1_ruler,1_scissor,boy,boy,girl,,,,,,,,boy with all the pencils,7072,stationeries,small,,2,8,,boy,,2_pencils,7,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Exp,,BoySomeSusanOranges,,,1,7,some,,AOI2,AOI8,some,,2,33-33,Susan's,,Click on the boy that has some of Susan's oranges,1,3_apples,girl,2_oranges,2_bananas,3_pears,1_banana,1_orange,boy,boy,girl,,,,,,,,boy with two items,9056,fruit,small,,2,8,,boy,,2_oranges,8,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Exp,,GirlAllMichaelErasers,,,4,10,all,,AOI3,AOI9,all,,26,44-22,Michael's,,Click on the girl that has all of Michael's erasers,1,3_pencils,girl,2_scissors,2_erasers,3_rulers,1_pencil,1_ruler,boy,boy,girl,,,,,,,,girl with erasers,8928,stationeries,small,,3,9,,girl,,2_erasers,9,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
124,List1,Filler,,BoyFourSusanBananas,,,1,7,four,,AOI2,AOI8,four,,44,44-22,Susan's,,Click on the boy that has four of Susan's bananas,1,1_orange,girl,4_bananas,3_pears,2_apples,1_orange,1_pear,boy,boy,girl,,,,,,,,person with four items,8919,fruit,big,,2,8,,boy,,4_bananas,10,[],46,,2,1,yes,Female,English,no,Chrome,Windows,864,1536,10.18915,
